Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Gradient Boosting,0.7977557411273486,0.5965665236051502,0.5821989528795811,0.5892951775304717,0.8165681237909617,0.5604812651854502
LightGBM,0.7894050104384134,0.5564024390243902,0.7643979057591623,0.6440229378032643,0.8160574842540678,0.5549980893423209
XGBoost,0.7792275574112735,0.5424124513618677,0.7298429319371728,0.6223214285714286,0.8118779196625339,0.5452053827190729
Random Forest,0.7792275574112735,0.5703225806451613,0.46282722513089003,0.5109826589595375,0.8047007590440158,0.5439800515250185
Logistic Regression,0.7437369519832986,0.49117069980379335,0.7863874345549738,0.604669887278583,0.7939802404700941,0.5294297329930855
Extra Trees,0.767223382045929,0.5379061371841155,0.4680628272251309,0.5005599104143337,0.7727661340073921,0.5001363280450274
